,,,,,,,,,
*,MIX ESPECIES ,6 GR ,12 GR,,Probar para rectificar sal o pimienta ,,,,
,AC OLIVA ,15 GR,30 GR ,,Se decora con hierba buena (bastante) y cebolla morada ,,,,
,,,,,,,,,
,,,,,,,,,
,FALAFEL,CANTIDAD ,,,,,,,
,INGREDIENTES,7UND,14UND,DETALLE,PREPARACIÓN,,,,
,FALAFEL ,7UND,14 UND,,,,,,
,CREMA TAHINI (EXTRA),40GR,40GR,,,,,,
,PEREJIL,1GR,1GR,,Decorativo ,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"PINCHO DE CARNE, POLLO, MIXTO O KAFTA",CANTIDAD ,,,,,,SUB RECETA,
,INGREDIENTES,3UND ,,DETALLE,PREPARACIÓN,,MIX DE VEGETALES X RACIÓN DE PINCHO ,,CANTIDAD
,"PINCHO DE CARNE, POLLO, MIXTO ",3 UND ,,,"PUEDE SALIR VARIADO, ES DEPENDIENDO DE LO QUE QUIERE EL CLIENTE ",,CEBOLA BLANCA,,2GR
,MIX DE VEGATALES ,6GR,,,,,CEBOLLA MORADA,,2GR
,PEREJIL ,1GR,,,,,PIMENTON ,,2R
,,,,,,,,,
,,,,,,,,,
,,,,,,,,SUB RECETA,
,PINCHO DE  KAFTA,CANTIDAD ,,,,,MIX DE VEGETALES X RACIÓN DE PINCHO ,,CANTIDAD
,INGREDIENTES,3UND ,,DETALLE,PREPARACIÓN,,TOMATE CHERRY,,1 UND
,PINCHO DE KAFTA,3 UND ,,,"PUEDE SALIR VARIADO, ES DEPENDIENDO DE LO QUE QUIERE EL CLIENTE ",,CEBOLLA MORADA,,5GR
,MIX DE KAFTA,6GR,,,,,ZUMAK,,1GR
,PEREJIL ,1GR,,,,,ZATAR ,,1GR
,,,,,,,SAL,,1GR
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARROZ CON POLLO LIBANÉS,CANTIDAD ,,,,,,SUB RECETA,
,INGREDIENTES,250GR,500GR,DETALLE,PREPARACIÓN,,FRUTOS SECOS DE ARROZ,,CANTIDAD
,ARROZ CON POLLO LIBANÉS,210GR,420,,,,ALMENDRA,,"1,5GR"
,CEBOLLA DE ARROZ LIBANES ,4GR,8GR,,,,MEREY,,"1,5GR"
,POLLO DE ARROZ,20GR,40GR,,,,,,
,ROMERO,2GR,4GR,,,,,,
,FRUTOS SECOS DE ARROZ ,3GR,6GR,,,,,,
,GRANADA ,1GR,2GR,,,,,,
,CALDO DE ARROZ,10 ML,20ML,,,,,,
,,,,,,,,,
,,,,,,,,,
,TABAQUITOS,CANTIDAD ,,,,,,,
,INGREDIENTES,7UND,14UND,DETALLE,PREPARACIÓN,,,,
,TABAQUITOS,7UND,14UND,,,,,,
,ADEREZO DE TABAQUITOS,5ML,5ML,,,,,,
,GRANADA,1GR,2GR,,,,,,
,RODAJAS DE LIMÓN,2,2,RODAJAS,,,,,
,,,,,,,,,
,SHAWARMAS ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA CARNE,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN,1UND,1UND ,1UND ,55GR EL PESO DEL PAN DE 250 Y 350GR EL DE 500GR PESA 75GR,,,,
,CREMA AJO ,40GR,40GR,40GR,,,,,
,TABULE ,40GR,70GR,190GR,,,,,
,VEGETALES SALTEADOS ,5GR ,5GR,5GR,,,,,
,PROTEINA ,120GR,190GR,240GR,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA POLLO ,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN,1UND,1UND ,1UND ,55GR EL PESO DEL PAN DE 250 Y 350GR EL DE 500GR PESA 75GR,,,,
,CREMA AJO ,40GR,40GR,40GR,,,,,
,TABULE ,40GR,70GR,190GR,,,,,
,VEGETALES SALTEADOS ,5GR ,5GR,5GR,,,,,
,PROTEINA ,120GR,190GR,240GR,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA MIXTO,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN,1UND,1UND ,1UND ,55GR EL PESO DEL PAN DE 250 Y 350GR EL DE 500GR PESA 75GR,,,,
,CREMA AJO ,40GR,40GR,40GR,,,,,
,TABULE ,40GR,70GR,190GR,,,,,
,VEGETALES SALTEADOS ,5GR ,5GR,5GR,,,,,
,PROTEINA ,120GR,190GR,240GR,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA FLUTEN FREE,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,,,PREPARACIÓN,,,,
,PAN DE YUCA,2UND,,,90GR CADA PAN ,,,,
,CREMA AJONJOLÍ,40GR,,,,,,,
,TABULE SIN TRIGO ,50GR,,,,,,,
,VEGETALES SALTEADOS ,5GR ,,,,,,,
,PROTEINA ,120GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA DE KAFTA ,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,SUB RECETA,
,PAN,1UND,1UND ,1UND ,55GR EL PESO DEL PAN DE 250 Y 350GR EL DE 500GR PESA 75GR,,VEGETALES SALTEADOS ,,CANTIDAD
,TARATOR,15GR,30GR,,,,TOMATE CHERRY,,1 UND
,PEPINILLOS,15GR,60GR,,,,CEBOLLA MORADA,,5GR
,VEGETALES SALTEADOS ,25GR,60GR,,,,ZUMAK,,1GR
,KAFTA,1 UND ,2 UND ,,,,ZATAR ,,1GR
,PAPAS FRITAS,35GR,70GR,,,,SAL,,1GR
,CREMA DE AJO,10GR,10GR,,,,,,
,,,,,,,,,
,SHAWARMA SHAKIFEL,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN ,1UND,1UND ,1UND ,,,,,
,CREMA AJO ,40GR,40GR,40GR,,,,,
,TABULE ,40GR,70GR,190GR,,,,,
,FALAFEL,2 UND,2 UND,3UND,,,,,
,KIBBE FRITO ,1 UND,2 UND,3UND ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA SHAKIFEL MIXTO,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN ,1UND,1UND ,1UND ,,,,,
,CREMA AJO ,40GR,40GR,40GR,,,,,
,TABULE ,40GR,70GR,190GR,,,,,
,FALAFEL,1UND ,2UND ,2UND,,,,,
,KIBBE FRITO ,1UND ,1UND,2UND,,,,,
,POLLO ,25GR,25GR,50GR,,,,,
,CARNE ,25GR,25GR,50GR,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA FALAFEL,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN ,1UND,1UND ,1UND ,,,,,
,CREMA AJONJOLI ,40GR,40GR,40GR,,,,,
,TABULE ,40GR,70GR,190GR,,,,,
,FALAFEL,4 UND ,6 UND ,8 UND,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,SHAWARMA SHANKLISH CARACAS,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,350GR,500GR,PREPARACIÓN,,,,
,PAN ,1UND,1UND ,1UND ,,,,,
,CREMA LABNEH ,40GR,40GR,40GR,,,,,
,SHANKLISH,5GR,10GR,20GR,,,,,
,TABULE,40GR,70GR,190GR,,,,,
,KIBBE HORNEADO ,75GR,125GR,125GR,,,,,
,KIBBE FRITO ,1UND,1UND ,2UND ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,PLATOS ESPECIALES,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,MINI PIZZA ZAATAR,CANTIDAD ,,,,,,,
,INGREDIENTES,5UND ,8UND,DETALLE,PREPARACIÓN,,,,
,MINI PIZZA ZAATAR,5UND ,8 UND,,,,,,
,CREA LABNEH (EXTRA),40GR,40GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,SAMBOUSEK,CANTIDAD ,,,,,,,
,INGREDIENTES,3UND,5UND ,DETALLE,PREPARACIÓN,,,,
,SAMBOUSEK,3UND ,5UND ,,,,,,
,GRANADA,1GR,2GR,,,,,,
,CREMA TAHINI (EXTRA),40GR ,40GR,,,,,,
