,,,,,,,,
,AZUCAR,2,UND,,,,,
,AGUA,5,LTS,,,,,
,LECHE EN POLVO,1,KG,,,,,
,,,,,,,,
,Helado de Avellanas ,,,,,,,
,,Cantidad ,Medida,,,,,
,AVELLANA,"2,5",KG,,,,,
,AGUA,"2,5 ",KG,,,,,
,LECHE EN POLVO,1/2 KG ,KG,,,,,
,GRAN COCINERO,1,LT,,,,,
,CHANTILLY ,1,LT,,,,,
,AZUCAR,2,KG,,,,,
,LECHE CONDENSADA,2,UND,,,,,
,CHOCOLATE OSCURO ,570,GR,,,,,
,CHOCOLATE DE LECHE ,570,GR,,,,,
,,,,,,,,
,Galleta de Helado ,,,,,,,
,,Cantidad ,Medida,,,,,
,MANTEQUILLA,200,GR,,,,,
,AZUCAR,200,GR,,,,,
,CLARA DE HUEVO,200,GR,,,,,
,HARINA ,200,GR,,,,,
,PISTACHO MOLINO,100,GR,,,,,
,,,,,,,,
,Mix de Especies para Kibbe Crudo,,,,,,,
,,Cantidad ,Medida,,,,,
,PIMIENTA BLANCA,170,GR,,,,,
,7 ESPECIES ,200,GR,,,,,
,SAL ,800,GR,,,,,
,,,,,,,,
,Aderezo de Pesto,,,,,,,
,,Cantidad ,Medida,,,,,
,ALBAHACA ,440,GR,,,,,
,PARMESANO O PECORINO,150,GR,,,,,
,AJINOMOTO ,10,GR,,,,,
,PIMIENTA NEGRA,8,GR,,,,,
,SAL FINA,11,GR,,,,,
,FRUTOS SECOS ,90,GR,,,,,
,AJO LIMPIO ,25,GR,,,,,
,ACEITE OLIVA ,400,ML,,,,,
,ACEITE VEGETAL ,150,ML,,,,,
,,,,,,,,
,Masa de Pizza,,,,,,,
,,Cantidad ,Medida,,,,,
,HARINA ,1,KG,,,,,
,ACEITE VEG,61,ML,,,,,
,AGUA ,280,ML,,,,,
,LEVADURA ,"0,01",PIZCA,,,,,
,SAL ,5,GR,,,,,
,,,,,,,,
,Relleno de Pizza,,,,,,,
,,Cantidad ,Medida,,,,,
,ZAATAR ,140,GR,,,,,
,ACEITE VEG Y OLIVA ,280,ML,,,,,
,CEBOLLA ,120,GR,,,,,
,,,,,,,,
,Empanadas Sambusik MASA,,,,,,,
,,Cantidad ,Medida,,,,,
,Harina de Trigo,1,KG,,,,,
,Agua,500,GR,,,,,
