nombre,categoria,unidad_base,punto_reorden,minimo_stock,costo_unitario_inicial,es_critico,descripcion
PAPEL SECANTE PARA BAÑO UND,MANTENIMIENTO,UNIT,,,,NO,
PAPEL TOALLIN MANOS UND,MANTENIMIENTO,UNIT,,,,NO,
PAPEL TOALLIN UND,MANTENIMIENTO,UNIT,,,,NO,
PAPEL WC UND,MANTENIMIENTO,UNIT,,,,NO,
PILAS AAA,MANTENIMIENTO,UNIT,,,,NO,
SERVILLETAS BRILLUX,MANTENIMIENTO,UNIT,,,,NO,
SERVILLETAS HOUSEHOLD,MANTENIMIENTO,UNIT,,,,NO,
SUAVIZANTE UND,MANTENIMIENTO,UNIT,,,,NO,
TAPABOCA UND,MANTENIMIENTO,UNIT,,,,NO,
MARGARINA SIN SAL,MARGARINA,KG,,,,NO,
MERMA CARNE,MERMA,KG,,,,NO,
MERMA CARNE Y POLLO,MERMA,KG,,,,NO,
MERMA POLLO,MERMA,KG,,,,NO,
BOLSAS DE PAN 5 UNIDADES UND,PAN Y HARINAS,UNIT,,,,NO,
CASABE,PAN Y HARINAS,KG,,,,NO,
HARINA DE TRIGO DE KG,PAN Y HARINAS,KG,,,,NO,
HARINA PAN DE 1KG UND,PAN Y HARINAS,KG,,,,NO,
HARINA PAN KG,PAN Y HARINAS,KG,,,,NO,
MASA FILO KG,PAN Y HARINAS,KG,,,,NO,
PAN DE HAMBURGUESA UND,PAN Y HARINAS,UNIT,,,,NO,
PAN DE SHAWARMA UND,PAN Y HARINAS,KG,,,,NO,
PAN MOLIDO KG,PAN Y HARINAS,KG,,,,NO,
PAN PITA UND,PAN Y HARINAS,UNIT,,,,NO,
TRIGO KG,PAN Y HARINAS,KG,,,,NO,
CARAOTA KG,PASTA Y GRANOS,KG,,,,NO,
CARAOTA ROJA KG,PASTA Y GRANOS,KG,,,,NO,
FRIJOL BLANCO KG,PASTA Y GRANOS,KG,,,,NO,
GARBANZO KG,PASTA Y GRANOS,KG,,,,NO,
LENTEJAS KG,PASTA Y GRANOS,KG,,,,NO,
BROOKIES UND,POSTRES,UNIT,,,,NO,
CACAO REAL EN POLVO KG,POSTRES,KG,,,,NO,
CHEESECAKE MANZANA UND,POSTRES,UNIT,,,,NO,
CHOCOLATE BLANCO KG,POSTRES,KG,,,,NO,
CHOCOLATE DE TAZA KG,POSTRES,KG,,,,NO,
CHOCOLATE EL REY 32% KG,POSTRES,KG,,,,NO,
CHOCOLATE EL REY 64% KG,POSTRES,KG,,,,NO,
CREMA DE COCO MONACO LT,POSTRES,L,,,,NO,
HELADO DE MANTECADO KG,POSTRES,KG,,,,NO,
PISTACHO POSTRES KG,POSTRES,KG,,,,NO,
QUESO FACILITAS,QUESO,UNIT,,,,NO,
AGUA CON GAS SAN PELLEGRINO 500ML UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUA MINALBA 355ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUA MINALBA SPARKLING 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUA MINALBA SPARKLING LIMON 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUA MINALBA SPARKLING NARANJA 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUA MINALBA SPARKLING TORONJA 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUA MINERAL SAN PELLEGRINO 700ML UND,REFRESCOS Y AGUA,UNIT,,,,NO,
AGUAKINA UND,REFRESCOS Y AGUA,UNIT,,,,NO,
CHINOTTO 2lt UND,REFRESCOS Y AGUA,UNIT,,,,NO,
CHINOTTO O SPRITE 355ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
GATORADE MANDARINA 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
GATORADE ROJO UND,REFRESCOS Y AGUA,UNIT,,,,NO,
INFUSIÓN DE FLOR DE JAMAICA UND,REFRESCOS Y AGUA,UNIT,,,,NO,
INFUSIÓN DE MANZANILLA UND,REFRESCOS Y AGUA,UNIT,,,,NO,
INFUSION TE NEGRO UND,REFRESCOS Y AGUA,UNIT,,,,NO,
LIPTON DURAZNO 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
LIPTON LIMON 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
LIPTON TE VERDE 500ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
PEPSI 2lt UND,REFRESCOS Y AGUA,UNIT,,,,NO,
PEPSI 355ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
PEPSI LATA ZERO,REFRESCOS Y AGUA,UNIT,,,,NO,
PEPSI LIGHT 355ml UND,REFRESCOS Y AGUA,UNIT,,,,NO,
SAN PELLEGRINO 500ml,REFRESCOS Y AGUA,UNIT,,,,NO,
SODA 355ML UND,REFRESCOS Y AGUA,UNIT,,,,NO,
TÉ NEGRO UND,REFRESCOS Y AGUA,UNIT,,,,NO,
TÉ VERDE UND,REFRESCOS Y AGUA,UNIT,,,,NO,
MAYONESA KG,ACEITES Y SALSAS,KG,,,,NO,
AGUA DE ROSAS LT,ACEITES Y SALSAS,L,,,,NO,
CHOCOZUELA HALAL KG,CARNES Y AVES,KG,,,,NO,
CHOCOZUELA MOLIDA HALAL KG,CARNES Y AVES,KG,,,,NO,
ENELDO KG,FRUVER,KG,,,,NO,
FECULA DE MAIZ KG,CONDIMENTOS,KG,,,,NO,
HARINA DE YUCA KG,CONDIMENTOS,KG,,,,NO,
LIMON FRANCES KG,FRUVER,KG,,,,NO,
LOMITO HALAL KG,CARNES Y AVES,KG,,,,NO,
NUTELLA KG,CONDIMENTOS,KG,,,,NO,
OREGANO KG,CONDIMENTOS,KG,,,,NO,
POLLO HALAL KG,CARNES Y AVES,KG,,,,NO,
SALSA TABASCO LT,ACEITES Y SALSAS,L,,,,NO,
TOMATE CHERRY KG,FRUVER,KG,,,,NO,
TORONJA KG,FRUVER,KG,,,,NO,
ACEITE DE OLIVA LT,ACEITES Y SALSAS,L,,,,NO,
